"統一編號","公司名稱","負責人","公司地址","實收資本額","公司狀態","產製日期"
"12730045","快好貨運有限公司","崔O均","高雄市岡山區台上一路79號1樓","0","核准設立","2017-11-01 03:32:41.01"
"12730798","潤大行銷管理有限公司","吳O蕙","臺南市南區新興里三官路８９巷５號","0","核准設立","2017-11-01 03:32:41.01"
"12731213","聯邦匯志國際股份有限公司","","臺中市大里區西榮里益民路二段三一○號二樓　　　","10000000","解散","2017-11-01 03:32:41.01"
"12732846","長隆興網電股份有限公司","","南投縣南投市中華路一五○號一樓","12000000","解散","2017-11-01 03:32:41.01"
"12732944","優吉企業有限公司","","臺中市西區英才路五八九巷四號一樓","null","廢止","2017-11-01 03:32:41.01"
"12733676","翰蔘生化科技股份有限公司","","臺南市永康區","null","解散已清算完結","2017-11-01 03:32:41.01"
"12734226","伊寶貝股份有限公司","鍾O敏","新北市樹林區三俊街218號(2樓)","5000000","核准設立","2017-11-01 03:32:41.01"
"12735793","駿星科技有限公司","","新北市汐止區橫科路五二巷一四弄六號二樓","null","解散","2017-11-01 03:32:41.01"
"12736694","螢修資訊科技有限公司","吳O儒","新北市板橋區莒光路144號","0","核准設立","2017-11-01 03:32:41.01"
"12744337","浩宇行銷管理顧問有限公司","","臺中市北區進化北路二三八號四樓之一","null","解散","2017-11-01 03:32:41.01"
"12746721","盟翔企業有限公司","張O欽","臺中市神岡區社口里中山路360巷9弄12號","null","核准設立","2017-11-01 03:32:41.01"
"12752429","金威興業有限公司","鄭O聰","桃園市平鎮區義民里041鄰環南路二段27號9樓之3","0","核准設立","2017-11-01 03:32:41.01"
"12752672","中部國際開發有限公司","","臺中市北屯區雷中街27號1樓","null","廢止","2017-11-01 03:32:41.01"
"12755354","舒活國際有限公司","","臺南市東區崇明路四三五號壹樓","null","解散","2017-11-01 03:32:41.01"
"12758514","米騎國際有限公司","","新北市土城區永寧里中央路三段二八五號","null","解散","2017-11-01 03:32:41.01"
"12760244","統聯合實業有限公司","李O琴","高雄市鳳山區自強二路176巷8號1樓","null","核准設立","2017-11-01 03:32:41.01"
"12760390","富生皮飾有限公司","李O琴","新北市三重區溪尾街51之1號","null","核准設立","2017-11-01 03:32:41.01"
"12761980","泳易有限公司","","嘉義縣中埔鄉和睦村中華路三九○號","null","解散","2017-11-01 03:32:41.01"
"12770643","琪錡實業有限公司","","臺北市中山區建國北路２段７４號４樓","null","廢止","2017-11-01 03:32:41.01"
"12772488","湛盛科技股份有限公司","陳O華","臺北市內湖區內湖路1段737巷8弄1號2樓","12000000","核准設立","2017-11-01 03:32:41.01"
"12775231","超時代實業有限公司","","新北市中和區景新街四○五號一樓","null","解散","2017-11-01 03:32:41.01"
"12775865","百閎生物科技有限公司","","嘉義市北港路七三號一樓","null","廢止","2017-11-01 03:32:41.01"
"12776098","驊電城企業有限公司","","新北市五股區成泰路三段一八五︱三號","null","解散","2017-11-01 03:32:41.01"
"12776891","富娜國際開發有限公司","","新北市林口區忠孝路569巷57號1樓","0","解散","2017-11-01 03:32:41.01"
"12782900","合賓科技股份有限公司","李O基","嘉義市西區頭港里玉山路962號1樓","1000000","核准設立","2017-11-01 03:32:41.01"
"12786130","京甫國際開發有限公司","鄧O勳","新北市新莊區明中街39號1樓","null","核准設立","2017-11-01 03:32:41.01"
"12787779","草工坊國際有限公司","趙O南","新北市板橋區溪北路172號(地下一層)","0","核准設立","2017-11-01 03:32:41.01"
"12789050","如將企業有限公司","","宜蘭縣宜蘭市大東里舊城東路五０號二樓","null","解散","2017-11-01 03:32:41.01"
"12791984","全春國際企業有限公司","","臺中市西區華美街四一二︱一號一樓　","null","解散","2017-11-01 03:32:41.01"
"12793337","詰庭貿易有限公司","","高雄市苓雅區建國1路72巷12弄5號1樓","null","解散","2017-11-01 03:32:41.01"
"12794286","采唐實業有限公司","郭O煌","臺北市松山區南京東路4段133巷7弄19號","null","核准設立","2017-11-01 03:32:41.01"
"12796340","春丞實業有限公司","","新北市永和區中正路四一二巷四弄六號二樓","null","解散","2017-11-01 03:32:41.01"
"12797615","禾米國際股份有限公司","劉O珍","臺北市信義區光復南路473巷11弄40號4樓之3","30000000","核准設立","2017-11-01 03:32:41.01"
